"id","intercept","sex"
"1",1,1
"4",1,1
"5",1,1
"6",1,1
"7",1,1
"8",1,1
"9",1,1
"10",1,1
"11",1,1
"13",1,1
"14",1,1
"15",1,1
"16",1,1
"17",1,1
"18",1,1
"19",1,1
"20",1,1
"21",1,1
"22",1,1
"23",1,1
"24",1,1
"25",1,1
"26",1,1
"27",1,1
"28",1,1
"31",1,1
"32",1,1
"33",1,1
"34",1,1
"35",1,1
"36",1,1
"37",1,1
"38",1,1
"39",1,1
"40",1,1
"41",1,1
"42",1,1
"43",1,1
"44",1,1
"45",1,1
"46",1,1
"47",1,1
"48",1,1
"49",1,1
"50",1,1
"51",1,1
"52",1,1
"53",1,1
"54",1,1
"55",1,1
"56",1,1
"57",1,1
"58",1,0
"59",1,0
"60",1,0
"61",1,0
"62",1,0
"63",1,0
"64",1,0
"65",1,0
"66",1,0
"67",1,0
"68",1,0
"69",1,0
"70",1,0
"71",1,0
"72",1,0
"73",1,0
"74",1,0
"75",1,0
"76",1,0
"77",1,0
"78",1,0
"79",1,0
"80",1,0
"82",1,0
"83",1,0
"84",1,0
"85",1,0
"86",1,0
"87",1,0
"88",1,1
"89",1,1
"92",1,1
"93",1,1
"94",1,1
"95",1,1
"96",1,1
"97",1,1
"98",1,0
"99",1,0
"100",1,0
"101",1,0
"102",1,0
"103",1,0
"104",1,0
"105",1,0
"106",1,0
"107",1,0
"108",1,1
"109",1,1
"110",1,1
"111",1,1
"112",1,1
"113",1,1
"114",1,1
"115",1,1
"116",1,1
"117",1,1
"118",1,0
"119",1,0
"120",1,0
"121",1,0
"122",1,0
"123",1,0
"124",1,0
"125",1,0
"126",1,0
"127",1,0
"128",1,1
"129",1,1
"130",1,1
"131",1,1
"132",1,1
"133",1,1
"134",1,1
"135",1,0
"136",1,0
"137",1,0
"138",1,0
"139",1,0
"140",1,0
"141",1,0
"142",1,0
"143",1,0
"144",1,1
"145",1,1
"146",1,1
"147",1,1
"148",1,1
"149",1,1
"150",1,1
"151",1,1
"152",1,1
"153",1,1
"154",1,0
"155",1,0
"156",1,0
"157",1,0
"158",1,0
"159",1,0
"160",1,0
"161",1,0
"162",1,0
"163",1,0
"164",1,0
"165",1,0
"166",1,0
"167",1,0
"168",1,0
"169",1,0
"170",1,0
"173",1,0
"174",1,0
"175",1,0
"176",1,0
"177",1,0
"178",1,0
"179",1,0
"180",1,0
"181",1,0
"182",1,0
"183",1,0
"184",1,0
"185",1,0
"186",1,0
"187",1,0
"188",1,0
"189",1,0
"190",1,0
"191",1,0
"192",1,0
"201",1,1
"202",1,1
"203",1,1
"204",1,1
"205",1,1
"206",1,0
"207",1,0
"208",1,0
"210",1,0
"211",1,0
"213",1,0
"214",1,1
"215",1,1
"216",1,1
"217",1,1
"218",1,1
"219",1,1
"220",1,1
"221",1,1
"223",1,1
"226",1,1
"228",1,1
"231",1,1
"232",1,1
"233",1,1
"234",1,1
"235",1,0
"236",1,0
"237",1,0
"238",1,0
"239",1,0
"240",1,0
"243",1,1
"244",1,1
"245",1,1
"246",1,1
"247",1,1
"248",1,1
"250",1,1
"251",1,0
"252",1,0
"253",1,0
"256",1,0
"257",1,0
"258",1,0
"259",1,1
"260",1,1
"261",1,1
"263",1,1
"264",1,1
"265",1,1
"266",1,1
"268",1,1
"270",1,1
"271",1,1
"273",1,1
"274",1,1
"275",1,0
"277",1,0
"278",1,0
"279",1,0
"280",1,0
"282",1,0
"283",1,0
"284",1,0
"285",1,0
"286",1,0
"287",1,0
"288",1,0
"289",1,0
"290",1,0
"291",1,0
"292",1,0
"293",1,0
"294",1,0
"295",1,0
"296",1,0
"297",1,0
"298",1,0
